"X","Y","pop","id"
5.8391219241,44.1142258055,"LUR","LUR_104"
5.839459,44.1146499998,"LUR","LUR_93"
5.8392670003,44.1143929996,"LUR","LUR_70"
5.8395589997,44.1145260004,"LUR","LUR_88"
5.8395899994,44.1143979999,"LUR","LUR_78"
5.8394009996,44.1144529997,"LUR","LUR_82"
5.8391020004,44.1144689997,"LUR","LUR_67"
5.8389700003,44.1144329998,"LUR","LUR_60"
5.8389849994,44.1143279998,"LUR","LUR_48"
6.4855355807,44.0261984601,"ISS","ISS_1TS6"
6.4853731233,44.0263117082,"ISS","ISS_1TS9"
6.4854226993,44.0262918796,"ISS","ISS_1TS12"
6.4853792387,44.0263295103,"ISS","ISS_1TS13"
5.243314965,44.1790611154,"VTX","VTX_384T611"
5.2437549804,44.1790708823,"VTX","VTX_384T662"
5.2427196804,44.1787909035,"VTX","VTX_384T472"
5.2431672637,44.1788482005,"VTX","VTX_384Text7"
5.2436180571,44.178810763,"VTX","VTX_384T692"
5.2439833965,44.1788378489,"VTX","VTX_384T761"
5.243084733,44.1786110303,"VTX","VTX_384T334"
5.2435009507,44.1785607945,"VTX","VTX_384T850"
5.2438706958,44.1785111734,"VTX","VTX_384T802"
5.2428646068,44.1783518629,"VTX","VTX_384T345"
5.2380522285,44.1843446612,"VTX","VTX_N2T200"
5.2373395881,44.1837853448,"VTX","VTX_N2T182"
5.2375263196,44.1835194185,"VTX","VTX_N2T166"
5.2382867438,44.1837482871,"VTX","VTX_N2T117"
5.2383557194,44.1836187472,"VTX","VTX_N2T112"
5.238046219,44.183214188,"VTX","VTX_N2T315"
5.2378656179,44.1830541772,"VTX","VTX_N2T310"
5.2381620633,44.1830800012,"VTX","VTX_N2T314"
8.447671,48.79839,"BAD","BAD_01"
8.448667,48.79864,"BAD","BAD_02"
8.454955,48.7986,"BAD","BAD_04"
8.457012,48.79867,"BAD","BAD_05"
8.457877,48.79889,"BAD","BAD_06"
8.459662,48.79968,"BAD","BAD_07"
8.463768,48.79715,"BAD","BAD_08"
8.464466,48.79673,"BAD","BAD_09"
8.467512,48.79577,"BAD","BAD_10"
8.469445,48.79509,"BAD","BAD_11"
8.469994,48.79368,"BAD","BAD_12"
8.472563,48.79311,"BAD","BAD_13"
8.473604,48.79271,"BAD","BAD_14"
8.475304,48.79278,"BAD","BAD_15"
8.476807,48.79285,"BAD","BAD_16"
8.479581,48.79261,"BAD","BAD_17"
8.478277,48.79196,"BAD","BAD_19"
8.47717,48.79046,"BAD","BAD_21"
8.47806,48.79088,"BAD","BAD_20"
8.478441,48.79232,"BAD","BAD_18"
6.790796,48.07097,"GER","GER_01"
6.794681,48.06975,"GER","GER_03"
6.796068,48.06907,"GER","GER_04"
6.796766,48.06909,"GER","GER_05"
6.79797,48.06915,"GER","GER_06"
6.799555,48.06856,"GER","GER_07"
6.800404,48.06774,"GER","GER_08"
6.801769,48.0674,"GER","GER_09"
6.803022,48.06642,"GER","GER_10"
6.803784,48.06466,"GER","GER_12"
6.804475,48.06385,"GER","GER_13"
6.805119,48.063,"GER","GER_14"
6.806117,48.062,"GER","GER_15"
6.807001,48.06026,"GER","GER_16"
6.807914,48.05928,"GER","GER_17"
6.808625,48.05838,"GER","GER_18"
