"X" "Y" "pop" "id" "cell"
3987367.92195932 2343065.1167756 "LUR" "LUR_104" 5053
3987397.38763845 2343110.5903483 "LUR" "LUR_93" 5053
3987380.51439645 2343082.98551569 "LUR" "LUR_70" 5053
3987404.67461666 2343096.41336341 "LUR" "LUR_88" 5053
3987406.41219487 2343082.10061909 "LUR" "LUR_78" 5053
3987391.59557672 2343089.03303873 "LUR" "LUR_82" 5053
3987367.7421998 2343092.13665289 "LUR" "LUR_67" 5053
3987356.96085148 2343088.73803113 "LUR" "LUR_60" 5053
3987357.55076986 2343077.04360308 "LUR" "LUR_48" 5053
4038719.42464947 2330658.32769986 "ISS" "ISS_1TS6" 5054
4038706.94340336 2330671.48409758 "ISS" "ISS_1TS9" 5054
4038710.82458383 2330669.10093374 "ISS" "ISS_1TS12" 5054
4038707.52164179 2330673.43297788 "ISS" "ISS_1TS13" 5054
3940094.42983095 2353086.31031333 "VTX" "VTX_384T611" 5053
3940129.67648085 2353085.153276 "VTX" "VTX_384T662" 5053
3940045.03369352 2353059.42501776 "VTX" "VTX_384T472" 5053
3940081.2021738 2353063.49099911 "VTX" "VTX_384Text7" 5053
3940116.99633368 2353057.05330802 "VTX" "VTX_384T692" 5053
3940146.38770212 2353058.19352783 "VTX" "VTX_384T761" 5053
3940073.02365383 2353037.65499329 "VTX" "VTX_384T334" 5053
3940105.96818136 2353029.9763055 "VTX" "VTX_384T850" 5053
3940135.20110257 2353022.60223213 "VTX" "VTX_384T802" 5053
3940053.69693268 2353010.08382795 "VTX" "VTX_384T345" 5053
3939708.8774882 2353698.00980414 "VTX" "VTX_N2T200" 5053
3939648.17345224 2353639.72008039 "VTX" "VTX_N2T182" 5053
3939661.32888751 2353609.32975836 "VTX" "VTX_N2T166" 5053
3939723.64988376 2353630.79412992 "VTX" "VTX_N2T117" 5053
3939728.30063771 2353616.10221538 "VTX" "VTX_N2T112" 5053
3939700.85885497 2353572.89163143 "VTX" "VTX_N2T315" 5053
3939685.35293897 2353556.09739203 "VTX" "VTX_N2T310" 5053
3939709.22575772 2353557.44660086 "VTX" "VTX_N2T314" 5053
4206927.65178043 2855100.34056645 "BAD" "BAD_01" 4461
4207001.40300625 2855126.58679633 "BAD" "BAD_02" 4461
4207463.30300228 2855112.43447921 "BAD" "BAD_04" 4461
4207614.59458322 2855117.04824975 "BAD" "BAD_05" 4461
4207678.64904492 2855140.17075437 "BAD" "BAD_06" 4461
4207811.59368113 2855225.23591179 "BAD" "BAD_07" 4461
4208107.52230015 2854937.72990163 "BAD" "BAD_08" 4461
4208157.85471436 2854889.97816791 "BAD" "BAD_09" 4461
4208379.48645031 2854778.61555188 "BAD" "BAD_10" 4461
4208519.97913412 2854700.08195047 "BAD" "BAD_11" 4461
4208557.13153101 2854542.52332358 "BAD" "BAD_12" 4461
4208744.61475436 2854475.25199618 "BAD" "BAD_13" 4461
4208820.20612632 2854429.2071616 "BAD" "BAD_14" 4461
4208945.28182003 2854434.4015887 "BAD" "BAD_15" 4461
4209055.88146412 2854439.89809874 "BAD" "BAD_16" 4461
4209259.17895494 2854409.01268649 "BAD" "BAD_17" 4461
4209161.89804156 2854338.74321113 "BAD" "BAD_19" 4461
4209077.17886007 2854173.6991444 "BAD" "BAD_21" 4461
4209143.52436409 2854219.03087258 "BAD" "BAD_20" 4461
4209174.75829137 2854378.50826396 "BAD" "BAD_18" 4461
4081804.13736592 2778240.30956683 "GER" "GER_01" 4579
4082087.76531925 2778092.25686361 "GER" "GER_03" 4579
