"i" "j" "x"
0 1 0.444314084123468
1 1 0.166646992107004
8 1 0.166802707720293
9 1 0.0624538895243927
0 2 0.22221835765062
1 2 0.333202020088585
2 2 0.166776737978256
8 2 0.0832727861819125
9 2 0.125100628404283
10 2 0.0624465966735721
1 3 0.166802707720292
2 3 0.333150143409687
3 3 0.166776737978256
9 3 0.0624538895243929
10 3 0.125086020183282
11 3 0.0624465966735721
2 4 0.166776737978256
3 4 0.333150143409687
4 4 0.166776737978256
10 4 0.0624465966735721
11 4 0.125086020183282
12 4 0.0624465966735721
3 5 0.166776737978256
4 5 0.333150143409687
5 5 0.166847536512381
11 5 0.0624465966735721
12 5 0.125086020183282
13 5 0.0624790696668607
4 6 0.166776737978256
5 6 0.333291569258897
6 6 0.166691779049995
12 6 0.0624465966735721
13 6 0.12515106644217
14 6 0.0622774798006445
5 7 0.166691779049995
6 7 0.333291569258897
7 7 0.200223077509266
13 7 0.0622774798006446
14 7 0.12515106644217
15 7 0.0666285263721492
6 8 0.166847536512381
7 8 0.399961935907618
14 8 0.062479069666861
15 8 0.133462792826564
16 8 0.09968548025872
0 9 0.222425999369249
1 9 0.0832727861819126
8 9 0.333202020088585
9 9 0.124983843003488
17 9 0.166802707720293
18 9 0.0624538895243927
0 10 0.111041558856663
1 10 0.166802707720293
2 10 0.0832598213277725
8 10 0.166646992107004
9 10 0.249898713686093
10 10 0.125086020183281
17 10 0.0832727861819125
18 10 0.125100628404283
19 10 0.0624465966735721
1 11 0.0832727861819128
2 11 0.166776737978256
3 11 0.0832598213277725
9 11 0.125100628404282
10 11 0.249869532572585
11 11 0.125086020183281
18 11 0.0624538895243929
19 11 0.125086020183282
20 11 0.0624465966735721
2 12 0.0832598213277725
3 12 0.166776737978256
4 12 0.0832598213277725
10 12 0.125086020183281
11 12 0.249869532572585
12 12 0.125086020183281
19 12 0.0624465966735721
20 12 0.125086020183282
21 12 0.0624465966735721
3 13 0.0832598213277725
4 13 0.166776737978256
5 13 0.0832951660249587
11 13 0.125086020183281
12 13 0.249869532572585
13 13 0.125151066442169
20 13 0.0624465966735721
21 13 0.125086020183282
22 13 0.0624790696668607
4 14 0.0832598213277725
5 14 0.166847536512382
6 14 0.0830264126413863
12 14 0.125086020183281
13 14 0.249999467782612
14 14 0.125034233955868
21 14 0.0624465966735721
22 14 0.12515106644217
23 14 0.0622774798006445
5 15 0.0830264126413864
6 15 0.166847536512381
7 15 0.0999572114265227
13 15 0.125034233955868
14 15 0.249999467782612
15 15 0.133462792826564
22 15 0.0622774798006446
23 15 0.12515106644217
24 15 0.062479069666861
6 16 0.0832951660249591
7 16 0.200223077509266
14 16 0.12515106644217
15 16 0.266602819488075
16 16 0.200138118956812
23 16 0.062479069666861
24 16 0.12515106644217
25 16 0.0830487322691851
7 17 0.0996346976473277
15 17 0.133338201080301
16 17 0.400165791713301
24 17 0.0622774798006445
25 17 0.166892389406727
8 18 0.166802707720293
9 18 0.0624538895243927
17 18 0.333202020088585
18 18 0.124983843003488
26 18 0.166802707720293
27 18 0.0624538895243927
8 19 0.0832727861819125
9 19 0.125100628404283
10 19 0.0624465966735721
17 19 0.166646992107004
18 19 0.249898713686093
19 19 0.125086020183281
26 19 0.0832727861819125
27 19 0.125100628404283
28 19 0.0624465966735721
9 20 0.0624538895243929
10 20 0.125086020183282
11 20 0.0624465966735721
18 20 0.125100628404282
19 20 0.249869532572585
20 20 0.125086020183281
27 20 0.0624538895243929
28 20 0.125086020183282
29 20 0.0624465966735721
10 21 0.0624465966735721
11 21 0.125086020183282
12 21 0.0624465966735721
19 21 0.125086020183281
20 21 0.249869532572585
21 21 0.125086020183281
28 21 0.0624465966735721
29 21 0.125086020183282
30 21 0.0624465966735721
11 22 0.0624465966735721
12 22 0.125086020183282
13 22 0.0624790696668607
20 22 0.125086020183281
21 22 0.249869532572585
22 22 0.125151066442169
29 22 0.0624465966735721
30 22 0.125086020183282
31 22 0.0624790696668607
12 23 0.0624465966735721
13 23 0.12515106644217
14 23 0.0622774798006445
21 23 0.125086020183281
22 23 0.249999467782612
23 23 0.125034233955868
30 23 0.0624465966735721
31 23 0.12515106644217
32 23 0.0622774798006445
13 24 0.0622774798006446
14 24 0.12515106644217
15 24 0.0666285263721492
22 24 0.125034233955868
23 24 0.249999467782612
24 24 0.12515106644217
31 24 0.0622774798006446
32 24 0.12515106644217
33 24 0.062479069666861
14 25 0.062479069666861
15 25 0.133462792826564
16 25 0.09968548025872
23 25 0.12515106644217
24 25 0.249999467782612
25 25 0.166736590072742
32 25 0.062479069666861
33 25 0.12515106644217
34 25 0.0830487322691851
15 26 0.0664135482076346
16 26 0.200325128812447
24 26 0.125034233955868
25 26 0.333381166575434
33 26 0.0622774798006445
34 26 0.166892389406727
17 27 0.166802707720293
18 27 0.0624538895243927
26 27 0.333202020088585
27 27 0.124983843003488
35 27 0.166802707720293
36 27 0.0624538895243927
17 28 0.0832727861819125
18 28 0.125100628404283
19 28 0.0624465966735721
26 28 0.166646992107004
27 28 0.249898713686093
28 28 0.125086020183281
35 28 0.0832727861819125
36 28 0.125100628404283
37 28 0.0624465966735721
18 29 0.0624538895243929
19 29 0.125086020183282
20 29 0.0624465966735721
27 29 0.125100628404282
28 29 0.249869532572585
29 29 0.125086020183281
36 29 0.0624538895243929
37 29 0.125086020183282
38 29 0.0624465966735721
19 30 0.0624465966735721
20 30 0.125086020183282
21 30 0.0624465966735721
28 30 0.125086020183281
29 30 0.249869532572585
30 30 0.125086020183281
37 30 0.0624465966735721
38 30 0.125086020183282
39 30 0.0624465966735721
20 31 0.0624465966735721
21 31 0.125086020183282
22 31 0.0624790696668607
29 31 0.125086020183281
30 31 0.249869532572585
31 31 0.125151066442169
38 31 0.0624465966735721
39 31 0.125086020183282
40 31 0.0624790696668607
21 32 0.0624465966735721
22 32 0.12515106644217
23 32 0.0622774798006445
30 32 0.125086020183281
31 32 0.249999467782612
32 32 0.125034233955868
39 32 0.0624465966735721
40 32 0.12515106644217
41 32 0.0622774798006445
22 33 0.0622774798006446
23 33 0.12515106644217
24 33 0.062479069666861
31 33 0.125034233955868
32 33 0.249999467782612
33 33 0.12515106644217
40 33 0.0622774798006446
41 33 0.12515106644217
42 33 0.062479069666861
23 34 0.062479069666861
24 34 0.12515106644217
25 34 0.0830487322691851
32 34 0.12515106644217
33 34 0.249999467782612
34 34 0.166736590072742
41 34 0.062479069666861
42 34 0.12515106644217
43 34 0.0830487322691851
24 35 0.0622774798006445
25 35 0.166892389406727
33 35 0.125034233955868
34 35 0.333381166575434
42 35 0.0622774798006445
43 35 0.166892389406727
26 36 0.166802707720293
27 36 0.0624538895243927
35 36 0.333202020088585
36 36 0.124983843003488
44 36 0.166873528309699
45 36 0.0624863701048443
26 37 0.0832727861819125
27 37 0.125100628404283
28 37 0.0624465966735721
35 37 0.166646992107004
36 37 0.249898713686093
37 37 0.125086020183281
44 37 0.0833081418897396
45 37 0.125165689860925
46 37 0.0624790696668649
27 38 0.0624538895243929
28 38 0.125086020183282
29 38 0.0624465966735721
36 38 0.125100628404282
37 38 0.249869532572585
38 38 0.125086020183281
45 38 0.0624863701048445
46 38 0.125151066442178
47 38 0.0624790696668649
28 39 0.0624465966735721
29 39 0.125086020183282
30 39 0.0624465966735721
37 39 0.125086020183281
38 39 0.249869532572585
39 39 0.125086020183281
46 39 0.0624790696668649
47 39 0.125151066442178
48 39 0.0624790696668649
29 40 0.0624465966735721
30 40 0.125086020183282
31 40 0.0624790696668607
38 40 0.125086020183281
39 40 0.249869532572585
40 40 0.125151066442169
47 40 0.0624790696668649
48 40 0.125151066442178
49 40 0.0624989707361574
30 41 0.0624465966735721
31 41 0.12515106644217
32 41 0.0622774798006445
39 41 0.125086020183281
40 41 0.249999467782612
41 41 0.125034233955868
48 41 0.0624790696668649
49 41 0.125190930032635
50 41 0.0622973166587749
31 42 0.0622774798006446
32 42 0.12515106644217
33 42 0.062479069666861
40 42 0.125034233955868
41 42 0.249999467782612
42 42 0.12515106644217
49 42 0.0622973166587756
50 42 0.125190930032633
51 42 0.0624989707361571
32 43 0.062479069666861
33 43 0.12515106644217
34 43 0.0830487322691851
41 43 0.12515106644217
42 43 0.249999467782612
43 43 0.166736590072742
50 43 0.0624989707361571
51 43 0.125190930032633
52 43 0.083061673222558
33 44 0.0622774798006445
34 44 0.166892389406727
42 44 0.125034233955868
43 44 0.333381166575434
51 44 0.0622973166587749
52 44 0.166918395181537
35 45 0.166802707720293
36 45 0.0624538895243927
44 45 0.333343489995019
45 45 0.125048843723199
53 45 0.166717746583145
54 45 0.0622847566835927
35 46 0.0832727861819125
36 46 0.125100628404283
37 46 0.0624465966735721
44 46 0.166717746583146
45 46 0.250028679254874
46 46 0.125151066442178
53 46 0.0830393466392502
54 46 0.125048843723198
55 46 0.0622774798006155
36 47 0.0624538895243929
37 47 0.125086020183282
38 47 0.0624465966735721
45 47 0.125165689860925
46 47 0.249999467782629
47 47 0.125151066442178
54 47 0.0622847566835978
55 47 0.125034233955876
56 47 0.0622774798006155
37 48 0.0624465966735721
38 48 0.125086020183282
39 48 0.0624465966735721
46 48 0.125151066442178
47 48 0.249999467782629
48 48 0.125151066442178
55 48 0.0622774798006155
56 48 0.125034233955876
57 48 0.0622774798006155
38 49 0.0624465966735721
39 49 0.125086020183282
40 49 0.0624790696668607
47 49 0.125151066442178
48 49 0.249999467782629
49 49 0.125190930032634
56 49 0.0622774798006155
57 49 0.125034233955876
58 49 0.0622973166587423
39 50 0.0624465966735721
40 50 0.12515106644217
41 50 0.0622774798006445
48 50 0.125151066442178
49 50 0.25007909855751
50 50 0.125074060332407
57 50 0.0622774798006155
58 50 0.125074060332408
59 50 0.0622973166587287
40 51 0.0622774798006446
41 51 0.12515106644217
42 51 0.062479069666861
49 51 0.125074060332408
50 51 0.250079098557507
51 51 0.125190930032633
58 51 0.0622973166587294
59 51 0.125074060332406
60 51 0.0622973166587519
41 52 0.062479069666861
42 52 0.12515106644217
43 52 0.0830487322691851
